_date,_subject,q10_open_response,q1_role,q2_industry,q3_agent_status,q4_opportunity_areas,q5_oversight_policy,q6_accountability,q7_trust_comparison,q8_two_year_forecast,q9_biggest_barrier,_status
2026-05-25T01:24:27.184106,ZAI Survey Response — Agent Readiness Gap (May 2026),"The focus always has to be on support and enhancement of human intelligence. Not replacement of human intelligence or nuance to understanding or assessment capabilities, but in accelerating and supporting those and making those skills quicker to use.",other,prof_services,exploring,"sales, marketing, research",na,na,human_slightly,five_15,expertise,
2026-05-23T16:06:57.482521,ZAI Survey Response — Agent Readiness Gap (May 2026),,manager,other,not_started,"cust_service, sales, marketing",in_progress,undecided,human_slightly,under_5,expertise,
2026-05-23T02:13:04.814117,ZAI Survey Response — Agent Readiness Gap (May 2026),NA,vp,financial,in_production,"cust_service, marketing, it_eng",formal_policy,dept,human_much_more,fifteen_30,accuracy,
2026-05-23T01:29:32.668874,ZAI Survey Response — Agent Readiness Gap (May 2026),"requiring proactive redesign of work, governance, and culture - not just technology adoption. ",manager,healthcare,piloting,"cust_service, research, knowledge",formal_policy,dept,agent_slightly,fifteen_30,security,
2026-05-22T19:51:22.401501,ZAI Survey Response — Agent Readiness Gap (May 2026),,director,healthcare,piloting,"research, knowledge",in_progress,undecided,equal,thirty_50,roi,
2026-05-22T19:46:15.719919,ZAI Survey Response — Agent Readiness Gap (May 2026),,manager,healthcare,in_production,cust_service,formal_policy,reviewer,human_slightly,fifteen_30,budget,
2026-05-22T18:27:27.495981,ZAI Survey Response — Agent Readiness Gap (May 2026),,other,tech,piloting,hr,formal_policy,deployer,agent_slightly,fifteen_30,expertise,
2026-05-22T18:14:27.092272,ZAI Survey Response — Agent Readiness Gap (May 2026),,manager,tech,in_production,"marketing, hr, research",informal,reviewer,equal,fifteen_30,security,
2026-05-22T13:35:50.311328,ZAI Survey Response — Agent Readiness Gap (May 2026),,director,prof_services,in_production,"finance, it_eng, exec_support",formal_policy,reviewer,agent_slightly,thirty_50,accuracy,
2026-05-22T12:30:39.923072,ZAI Survey Response — Agent Readiness Gap (May 2026),,other,prof_services,exploring,"sales, hr, knowledge",informal,deployer,human_much_more,unsure,security,
2026-05-22T11:16:17.414352,ZAI Survey Response — Agent Readiness Gap (May 2026),"This program is new and is not without its conflictions. Until we reach a deeper understanding about this factor, (and other possible kinks that may have negative to your savings account, we can't move ahead. We have to figure this out ourselves and trust the product until we expect anyone else to.",c_suite,tech,exploring,"cust_service, knowledge, compliance",in_progress,dept,equal,over_50,accuracy,
2026-05-22T06:07:00.320052,ZAI Survey Response — Agent Readiness Gap (May 2026),,c_suite,prof_services,exploring,"cust_service, hr, it_eng",in_progress,dept,human_slightly,thirty_50,accuracy,
2026-05-22T01:07:18.703851,ZAI Survey Response — Agent Readiness Gap (May 2026),,vp,financial,in_production,it_eng,formal_policy,reviewer,equal,over_50,security,
2026-05-22T00:05:46.618790,ZAI Survey Response — Agent Readiness Gap (May 2026),,director,manufacturing,in_production,"cust_service, hr, it_eng",formal_policy,dept,agent_much_more,thirty_50,security,
2026-05-21T20:44:52.654366,ZAI Survey Response — Agent Readiness Gap (May 2026),,manager,prof_services,in_production,"cust_service, it_eng",formal_policy,deployer,equal,five_15,budget,
2026-05-21T20:23:57.550048,ZAI Survey Response — Agent Readiness Gap (May 2026),,vp,healthcare,exploring,,na,na,human_slightly,fifteen_30,accuracy,
2026-05-21T20:18:47.339967,ZAI Survey Response — Agent Readiness Gap (May 2026),,vp,manufacturing,in_production,knowledge,informal,dept,agent_much_more,five_15,expertise,
2026-05-21T20:17:12.108051,ZAI Survey Response — Agent Readiness Gap (May 2026),"Must have guidelines, process to trust and verify in place",director,tech,unsure,"marketing, knowledge",not_addressed,na,human_much_more,unsure,accuracy,
2026-05-21T20:16:59.934935,ZAI Survey Response — Agent Readiness Gap (May 2026),,manager,tech,piloting,"it_eng, knowledge",in_progress,undecided,human_slightly,fifteen_30,accuracy,
2026-05-21T20:13:35.576068,ZAI Survey Response — Agent Readiness Gap (May 2026),,vp,financial,exploring,"cust_service, finance, it_eng",informal,undecided,agent_slightly,thirty_50,security,
2026-05-21T19:59:15.368358,ZAI Survey Response — Agent Readiness Gap (May 2026),Human in the loop needs to learn new skills ,director,tech,exploring,"marketing, it_eng",na,na,agent_slightly,fifteen_30,resistance,
2026-05-21T19:38:33.954420,ZAI Survey Response — Agent Readiness Gap (May 2026),,director,prof_services,exploring,"finance, it_eng, research",formal_policy,deployer,human_slightly,five_15,security,
2026-05-21T19:32:02.933069,ZAI Survey Response — Agent Readiness Gap (May 2026),,other,tech,in_production,marketing,formal_policy,undecided,human_slightly,five_15,roi,
2026-05-21T19:29:10.648879,ZAI Survey Response — Agent Readiness Gap (May 2026),,vp,tech,piloting,"marketing, research, knowledge",in_progress,undecided,human_slightly,fifteen_30,budget,
2026-05-21T19:20:21.811170,ZAI Survey Response — Agent Readiness Gap (May 2026),,c_suite,other,not_started,"cust_service, sales, marketing",na,na,human_much_more,fifteen_30,expertise,
2026-05-21T18:32:33.066969,ZAI Survey Response — Agent Readiness Gap (May 2026),,vp,tech,piloting,"hr, finance, it_eng",informal,undecided,human_much_more,fifteen_30,expertise,
2026-05-21T18:12:24.031105,ZAI Survey Response — Agent Readiness Gap (May 2026),Be deliberate about your plans.  Do a pilot approach.,vp,consumer,piloting,"cust_service, research",in_progress,dept,human_slightly,five_15,security,
2026-05-21T17:39:26.766702,ZAI Survey Response — Agent Readiness Gap (May 2026),,vp,financial,piloting,"finance, it_eng, compliance",formal_policy,reviewer,equal,five_15,security,
2026-05-21T17:37:34.999428,ZAI Survey Response — Agent Readiness Gap (May 2026),,c_suite,healthcare,piloting,compliance,formal_policy,reviewer,human_slightly,thirty_50,security,
2026-05-21T17:14:22.256221,ZAI Survey Response — Agent Readiness Gap (May 2026),,c_suite,prof_services,exploring,"marketing, finance, research",informal,reviewer,human_slightly,five_15,budget,
